✅ Backend database initialized
 * Serving Flask app 'server'
 * Debug mode: off
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://10.11.7.165:5000
Press CTRL+C to quit
127.0.0.1 - - [15/Apr/2026 07:50:59] "GET /api/laporan?page=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:06] "GET /api/laporan?page=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:06] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:06] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:07] "GET /api/laporan?page=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:07] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:07] "GET /api/laporan?page=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:07] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:07] "GET /api/laporan?page=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:11] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:11] "GET /api/laporan?page=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:11] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:11] "GET /api/laporan?page=3 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:11] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:11] "GET /api/laporan?page=4 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:12] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:12] "GET /api/laporan?page=3 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:12] "GET /api/laporan?page=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:12] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:12] "GET /api/laporan?page=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:12] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:13] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:13] "GET /api/laporan?page=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:14] "GET /api/laporan?page=3 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:14] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:14] "GET /api/laporan?page=4 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:14] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:14] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:14] "GET /api/laporan?page=5 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:14] "GET /api/laporan?page=6 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:14] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:15] "GET /api/laporan/8/preview HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:15] "GET /api/laporan/8/gallery HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:15] "GET /api/laporan/8/gallery HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:18] "DELETE /api/laporan/8 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:18] "GET /api/laporan?page=6 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:18] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:19] "GET /api/laporan/7/preview HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:19] "GET /api/laporan/7/gallery HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:19] "GET /api/laporan/7/gallery HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:20] "DELETE /api/laporan/7 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:20] "GET /api/laporan?page=6 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:21] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:21] "GET /api/laporan/6/preview HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:21] "GET /api/laporan/6/gallery HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:21] "GET /api/laporan/6/gallery HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:25] "DELETE /api/laporan/6 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:25] "GET /api/laporan?page=6 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:25] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:25] "GET /api/laporan/5/preview HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:25] "GET /api/laporan/5/gallery HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:26] "GET /api/laporan/5/gallery HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:27] "DELETE /api/laporan/5 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:27] "GET /api/laporan?page=6 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:27] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:28] "GET /api/laporan/4/preview HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:28] "GET /api/laporan/4/gallery HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:28] "GET /api/laporan/4/gallery HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:29] "DELETE /api/laporan/4 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:29] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:29] "GET /api/laporan?page=6 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:29] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:30] "GET /api/laporan/9/preview HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:30] "GET /api/laporan/9/gallery HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:30] "GET /api/laporan/9/gallery HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:31] "DELETE /api/laporan/9 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:31] "GET /api/laporan?page=6 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:31] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:32] "GET /api/laporan/10/preview HTTP/1.1" 200 -
